folder,file,reason,lap_var,brightness
ban,20.png,blur,3.98,212.7
ban,24.jpg,blur,39.8,117.83
ban,30.png,blur,32.82,235.86
bat,63.jpg,blur,38.28,161.01
bat,66.jpg,blur,37.78,243.56
bat,67.jpg,blur,25.27,222.7
bat,68.jpg,blur,25.32,220.33
bat,69.jpg,blur,34.91,216.67
bat,70.jpg,blur,9.17,233.78
bat,71.jpg,blur,18.38,221.58
bat,72.jpg,blur,41.19,201.88
bat,73.jpg,blur,26.89,156.32
bat,bat.jpg,blur,12.34,240.07
bat,bat10.jpg,blur,31.29,197.68
bat,bat11.jpg,dark,360.1,9.39
bat,bat12.jpg,blur,15.44,223.73
bat,bat13.jpg,blur,20.47,218.12
bat,bat14.jpg,blur,3.26,227.59
bat,bat16.jpg,blur,7.5,226.06
bat,bat19.jpg,blur,12.13,242.04
bat,bat2.jpg,blur,11.72,226.97
bat,bat20.jpg,blur,13.36,207.18
bat,bat5.jpg,blur,6.03,242.35
bat,bat6.jpg,blur,4.1,203.66
bat,bat7.jpg,blur,29.31,241.62
bat,bat8.jpg,blur,24.32,243.19
bat,bat9.jpg,blur,2.98,238.45
bat,coc22.jpg,blur,2.59,244.27
bat,coc24.jpg,blur,11.49,204.64
bat,coc25.jpg,blur,2.97,218.8
bat,coc26.jpg,blur,24.28,225.74
bat,coc27.jpg,blur,14.35,242.98
bat,coc32.jpg,blur,11.55,245.87
bat,coc33.jpg,blur,27.25,244.94
bat,coc35.jpg,blur,4.03,33.51
bat,coc36.jpg,blur,11.15,225.39
bat,coc38.jpg,blur,14.88,210.44
bat,coc39.jpg,blur,8.91,97.79
bat,coc40.jpg,blur,28.22,244.63
bat,coc41.jpg,blur,6.21,228.13
binh_hoa,1.jpg,blur,35.63,133.1
binh_hoa,52.jpg,blur,11.59,198.72
binh_hoa,57.jpg,blur,21.32,230.89
binh_hoa,58.jpg,blur,6.25,229.57
binh_hoa,59.jpg,blur,24.11,239.64
binh_nuoc,15.jpg,blur,32.23,231.53
binh_nuoc,17.jpg,blur,16.71,236.26
binh_nuoc,6.jpg,blur,29.04,174.24
chai,Image_153.png,blur,34.48,237.6
chai,Image_187.png,blur,34.42,244.26
chai,Image_237.png,blur,39.2,240.34
chai,Image_6.png,blur,33.41,194.34
chao,chao46.jpg,blur,9.75,162.19
chao,chao47.jpg,blur,36.53,226.04
choi,choi16.jpg,blur,16.09,164.76
choi,choi21.jpg,blur,36.4,184.33
choi,choi30.jpg,blur,26.02,194.29
choi,choi47.jpg,blur,28.02,214.67
choi,choi48.jpg,blur,36.81,247.06
choi,choi8.jpg,dark,1834.18,10.17
coc,64.jpg,blur,38.62,235.1
coc,66.jpg,blur,28.0,243.26
coc,coc12.jpg,blur,34.19,230.73
coc,coc15.jpg,blur,22.37,211.78
coc,coc19.jpg,blur,17.09,202.08
coc,coc24.jpg,blur,19.06,195.51
coc,coc38.jpg,blur,38.15,24.14
coc,coc40.jpg,blur,31.46,239.99
coc,coc41.jpg,blur,20.47,218.25
coc,coc46.jpg,blur,35.62,246.33
coc,coc48.jpg,blur,35.1,242.36
coc,coc52.jpg,blur,38.54,245.33
coc,coc54.jpg,blur,20.46,243.95
coc,coc7.jpg,blur,10.12,121.24
coc,Image_18.png,blur,40.83,239.78
coc,Image_250.png,dark,926.32,20.61
coc,Image_80.png,blur,12.31,248.52
den,52.jpg,blur,38.2,79.72
den,53.jpg,blur,41.53,109.09
den,76.jpg,blur,40.12,87.94
den,den11.jpg,blur,31.33,243.83
den,den28.jpg,blur,17.09,183.52
den,den29.jpg,blur,23.53,174.18
den,den46.jpg,blur,29.41,243.27
den,den47.jpg,blur,38.84,249.02
den,den6.jpg,blur,26.71,243.18
den,den7.jpg,blur,21.8,246.31
den,den8.jpg,blur,37.67,234.54
muong,11.jpg,blur,20.49,211.82
muong,14.jpg,blur,11.97,249.35
muong,15.jpg,blur,7.19,247.54
muong,16.jpg,blur,20.06,238.49
muong,17.jpg,blur,3.45,249.31
muong,18.jpg,blur,3.81,247.76
muong,19.jpg,blur,7.6,235.84
muong,30.jpg,blur,29.81,237.57
muong,38.jpg,blur,11.63,241.4
muong,59.jpg,blur,7.74,250.22
muong,60.jpg,blur,4.88,248.3
muong,62.jpg,blur,9.32,215.84
muong,67.jpg,blur,10.31,237.24
muong,68.jpg,blur,27.88,234.35
muong,70.jpg,blur,20.65,174.03
muong,72.jpg,blur,37.59,237.73
muong,8.jpg,blur,16.81,246.95
muong,9.jpg,blur,29.56,221.83
muong,93.jpg,blank,57.69,253.16
muong,muong10.jpg,blur,24.23,240.15
muong,muong28.jpg,blur,24.21,222.33
muong,muong3.jpg,blur,17.23,244.63
muong,muong30.jpg,blur,7.81,245.61
muong,muong31.jpg,blur,17.73,247.1
muong,muong37.jpg,blur,2.92,251.27
muong,muong38.jpg,blur,25.59,195.13
muong,muong39.jpg,blur,38.99,234.31
muong,muong41.jpg,blur,27.26,175.33
muong,muong43.jpg,blur,39.81,193.61
muong,muong6.jpg,blur,1.34,250.71
muong,muong8.jpg,blur,26.54,247.91
quat,25.jpg,blur,17.06,240.61
tua_vit,13.jpg,blur,38.75,224.93
tua_vit,14.jpg,blur,24.29,242.84
tua_vit,18.jpg,blur,41.9,225.51
tua_vit,21.png,blur,33.3,206.94
tua_vit,23.jpg,blur,27.5,228.8
tua_vit,5.jpg,blur,20.06,235.77
tua_vit,6.jpg,blur,25.05,231.54
tui,3.jpg,blur,20.68,249.71
tui,45.jpg,blur,3.48,250.97
